コードブック版,項目,選択値,定義,コメント必須,状態
Step11-CB-1.0.0-rc1,最終接触対象,判定不能,対象の記載不足、複数候補または曖昧さにより決められない。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,口腔・顔面への直接外力,あり（明記）,口、歯、顔面、顎等の接触・強打が明記される。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,口腔・顔面への直接外力,なし（明記）,口腔・顔面への直接接触がなかったことが明記される。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,口腔・顔面への直接外力,記載なし,直接外力の有無への言及がない。事実として『なし』ではない。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,口腔・顔面への直接外力,判定不能,関連記載はあるが直接外力かを決められない。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,前歯部の記載,記載あり,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,前歯部の記載,記載なし,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,前歯部の記載,判定不能,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,その他歯牙の記載,記載あり,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,その他歯牙の記載,記載なし,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,その他歯牙の記載,判定不能,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,歯牙・部位不明の記載,記載あり,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,歯牙・部位不明の記載,記載なし,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,歯牙・部位不明の記載,判定不能,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,口腔・口唇の記載,記載あり,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,口腔・口唇の記載,記載なし,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,口腔・口唇の記載,判定不能,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,顔面・顎の記載,記載あり,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,顔面・顎の記載,記載なし,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,顔面・顎の記載,判定不能,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,その他部位の記載,記載あり,固定選択肢。詳細は判定基準Markdownを参照する。,はい,研究者確認待ち
Step11-CB-1.0.0-rc1,その他部位の記載,記載なし,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,その他部位の記載,判定不能,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,ヘルメット,使用あり（明記）,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,ヘルメット,使用なし（明記）,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,ヘルメット,言及あり・使用状況不明,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,ヘルメット,記載なし,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,ヘルメット,該当なし,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,マウスガード,使用あり（明記）,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,マウスガード,使用なし（明記）,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,マウスガード,言及あり・使用状況不明,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,マウスガード,記載なし,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,マウスガード,該当なし,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,予防可能性,修正可能要因の明記あり,具体的な修正可能要因が明記される。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,予防可能性,修正可能要因の可能性あり,修正可能要因が示唆されるが確定できない。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,予防可能性,修正可能要因の記載なし,修正可能要因への言及がない。予防不能という意味ではない。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,予防可能性,判定不能,記載が曖昧または矛盾し分類できない。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,予防可能性の根拠区分,行動,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,予防可能性の根拠区分,路面・天候,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,予防可能性の根拠区分,車両・操作,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,予防可能性の根拠区分,施設・構造物,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,予防可能性の根拠区分,保護具,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,予防可能性の根拠区分,複数,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,予防可能性の根拠区分,その他,固定選択肢。詳細は判定基準Markdownを参照する。,はい,研究者確認待ち
Step11-CB-1.0.0-rc1,予防可能性の根拠区分,該当なし,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,判定不能理由,該当なし,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,判定不能理由,原文情報不足,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,判定不能理由,時系列不明,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,判定不能理由,複数候補,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,判定不能理由,用語が曖昧,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
Step11-CB-1.0.0-rc1,判定不能理由,対象外疑い,固定選択肢。詳細は判定基準Markdownを参照する。,はい,研究者確認待ち
Step11-CB-1.0.0-rc1,判定不能理由,その他,固定選択肢。詳細は判定基準Markdownを参照する。,はい,研究者確認待ち
Step11-CB-1.0.0-rc1,行確認,確認済み,固定選択肢。詳細は判定基準Markdownを参照する。,いいえ,研究者確認待ち
