根拠区分,順位,観察事項,数値根拠,考察時の確認項目
特徴カテゴリ,1,カテゴリ「受傷部位:歯牙」は歯牙障害で相対的に多い。,"歯牙障害=47.1257%, All=10.1146%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,2,カテゴリ「受傷部位:顎顔面」は歯牙障害で相対的に多い。,"歯牙障害=36.1971%, All=16.454%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,3,カテゴリ「原因物:スポーツ用具」は歯牙障害で相対的に多い。,"歯牙障害=33.2912%, All=25.1757%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,4,カテゴリ「受傷機転:転倒」は歯牙障害で相対的に多い。,"歯牙障害=32.0278%, All=25.8006%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,5,カテゴリ「原因物:乗り物」は歯牙障害で相対的に多い。,"歯牙障害=14.6557%, All=8.0968%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,6,カテゴリ「衝突対象:床」は歯牙障害で相対的に多い。,"歯牙障害=11.9394%, All=6.0531%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,7,カテゴリ「傷害結果:脱臼」は歯牙障害で相対的に多い。,"歯牙障害=5.6222%, All=1.7053%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,8,カテゴリ「受傷機転:衝突」は歯牙障害で相対的に多い。,"歯牙障害=11.7498%, All=9.8282%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,9,カテゴリ「受傷機転:滑走」は歯牙障害で相対的に多い。,"歯牙障害=7.0752%, All=5.0508%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,10,カテゴリ「傷害結果:欠損」は歯牙障害で相対的に多い。,"歯牙障害=3.4744%, All=1.3538%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,11,カテゴリ「衝突対象:地面」は歯牙障害で相対的に多い。,"歯牙障害=6.3803%, All=5.5845%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,12,カテゴリ「受傷機転:接触」は歯牙障害で相対的に多い。,"歯牙障害=4.2956%, All=3.1112%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,13,カテゴリ「環境要因:路面」は歯牙障害で相対的に多い。,"歯牙障害=3.3481%, All=2.3171%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,14,カテゴリ「衝突対象:自転車部品」は歯牙障害で相対的に多い。,"歯牙障害=1.9583%, All=0.8852%",辞書分類精度と未分類語の影響を確認する。
特徴カテゴリ,15,カテゴリ「受傷機転:つまずき」は歯牙障害で相対的に多い。,"歯牙障害=2.7795%, All=2.1999%",辞書分類精度と未分類語の影響を確認する。
Jaccard,1,「床」と「衝突対象:床」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,2,「受傷部位:下肢」と「足」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,3,「受傷機転:滑走」と「滑る」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,4,「地面」と「衝突対象:地面」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,5,「傷害結果:脱臼」と「脱臼」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,6,「受傷機転:接触」と「接触」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,7,「傷害結果:欠損」と「欠損」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,8,「受傷部位:頭部」と「頭部」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,9,「つまずく」と「受傷機転:つまずき」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,10,「衝突対象:階段」と「階段」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,11,「乗る」と「行動:乗車」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,12,「ハンドル」と「衝突対象:自転車部品」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,13,「切る」と「受傷機転:切創」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,14,「壁」と「衝突対象:壁」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,15,「傷害結果:骨折」と「骨折」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,16,「うし」と「ろ」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,17,「うし」と「ろ」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,18,「傷害結果:裂傷」と「裂傷」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,19,「行動:運動」と「跳ぶ」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
Jaccard,20,「受傷機転:挟圧」と「挟まる」は同一事例に共存しやすい。,Jaccard=1.0,共起は因果関係を意味しない点に注意する。
事故パターン,1,事故パターン「原因物:スポーツ用具 -> 受傷部位:歯牙」が確認された。,"件数=77, 割合=4.8642%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,2,事故パターン「原因物:スポーツ用具 -> 受傷部位:顎顔面」が確認された。,"件数=46, 割合=2.9059%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,3,事故パターン「受傷部位:歯牙 -> 受傷部位:顎顔面」が確認された。,"件数=23, 割合=1.4529%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,4,事故パターン「原因物:スポーツ用具 -> 受傷部位:歯牙 -> 受傷部位:顎顔面」が確認された。,"件数=21, 割合=1.3266%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,5,事故パターン「受傷機転:衝突 -> 受傷部位:歯牙」が確認された。,"件数=15, 割合=0.9476%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,6,事故パターン「原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:顎顔面」が確認された。,"件数=14, 割合=0.8844%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,7,事故パターン「受傷機転:転倒 -> 受傷部位:顎顔面 -> 衝突対象:床」が確認された。,"件数=14, 割合=0.8844%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,8,事故パターン「原因物:スポーツ用具 -> 行動:球技」が確認された。,"件数=13, 割合=0.8212%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,9,事故パターン「受傷機転:転倒 -> 受傷部位:顎顔面」が確認された。,"件数=13, 割合=0.8212%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,10,事故パターン「受傷機転:転倒 -> 受傷部位:歯牙」が確認された。,"件数=12, 割合=0.7581%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,11,事故パターン「原因物:スポーツ用具 -> 受傷機転:衝突 -> 受傷部位:歯牙」が確認された。,"件数=11, 割合=0.6949%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,12,事故パターン「傷害結果:欠損 -> 原因物:スポーツ用具 -> 受傷部位:歯牙」が確認された。,"件数=10, 割合=0.6317%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,13,事故パターン「傷害結果:脱臼 -> 原因物:スポーツ用具 -> 受傷部位:歯牙」が確認された。,"件数=10, 割合=0.6317%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,14,事故パターン「原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:歯牙」が確認された。,"件数=10, 割合=0.6317%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,15,事故パターン「原因物:乗り物 -> 受傷機転:転倒」が確認された。,"件数=10, 割合=0.6317%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,16,事故パターン「原因物:スポーツ用具 -> 受傷機転:衝突」が確認された。,"件数=9, 割合=0.5685%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,17,事故パターン「原因物:乗り物 -> 受傷機転:転倒 -> 受傷部位:顎顔面 -> 衝突対象:地面」が確認された。,"件数=8, 割合=0.5054%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,18,事故パターン「受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面 -> 衝突対象:床」が確認された。,"件数=8, 割合=0.5054%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,19,事故パターン「受傷機転:転倒 -> 受傷部位:歯牙 -> 受傷部位:顎顔面」が確認された。,"件数=7, 割合=0.4422%",構成要素の順序は時系列を示さない点に注意する。
事故パターン,20,事故パターン「原因物:スポーツ用具 -> 受傷部位:上肢 -> 受傷部位:歯牙」が確認された。,"件数=6, 割合=0.379%",構成要素の順序は時系列を示さない点に注意する。
